Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Firefox 56.0,,2017-10-20 12:15:59,2017-10-20 12:17:08,"1m - 8,952s",PASSED
,,,,,,
Test Cases/TestInicial,Firefox 56.0,Abriremos el navegador e iremos a una url,2017-10-20 12:16:00,2017-10-20 12:16:23,"22,889s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:16:02,2017-10-20 12:16:22,"19,508s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:16:22,2017-10-20 12:16:23,"1,496s",PASSED
,,,,,,
Test Cases/TestInicialRecord,Firefox 56.0,"Lo mismo, pero para tener en la TestSuite mas de un caso, y que se refleje en los \""reports\""",2017-10-20 12:16:23,2017-10-20 12:16:46,"23,231s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:16:24,2017-10-20 12:16:36,"11,996s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-20 12:16:36,2017-10-20 12:16:40,"4,156s",PASSED
click,Firefox 56.0,,2017-10-20 12:16:40,2017-10-20 12:16:41,"1,318s",PASSED
click,Firefox 56.0,,2017-10-20 12:16:41,2017-10-20 12:16:46,"4,165s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:16:46,2017-10-20 12:16:46,"0,774s",PASSED
,,,,,,
Test Cases/testDeteccionAuto,Firefox 56.0,,2017-10-20 12:16:47,2017-10-20 12:17:08,"21,626s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:16:47,2017-10-20 12:16:59,"12,048s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-20 12:16:59,2017-10-20 12:17:03,"4,263s",PASSED
click,Firefox 56.0,,2017-10-20 12:17:03,2017-10-20 12:17:05,"1,372s",PASSED
setText,Firefox 56.0,,2017-10-20 12:17:05,2017-10-20 12:17:07,"2,496s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:17:07,2017-10-20 12:17:08,"0,906s",PASSED
